address,lon,lat
"41 LOWER ALBERT RD, GLENEGEARY, DUBLIN",0,0
"44 PARK RD, MUSKERRY ESTATE, BALLINCOLLIG",0,0
"45 RIVERBANK HALL, ADDISON PARK, GLASNEVIN",0,0
"49 GLASNEVIN PARK, DUBLIN 11, DUBLIN CITY",53.3892922,-6.2752229
"4A ROWANBYRN, BLACKROCK, DUBLIN",53.28831995,-6.170160619707438
"57 Ballymany Manor, Newbridge",53.16705,-6.8142958
"58 OATFIELD PARK, CLANE, KILDARE",53.2953694,-6.691954599999999
"59A SYCAMORE RD, FINGLAS EAST, DUBLIN 11",53.3954618,-6.2914911
"6 METROPOLITAN APPARTMENTS, BLOCK A, INCHICORE ROAD",0,0
"6 RAMPART MILL, RAMPARTS, DUNDALK",0,0
"6 STATION ROAD, PORTARLINGTON, CO LAOIS",53.1519707,-7.182739
"6 THE CEDARS, BRIDEWOOD, OVENS",0,0
"60 Rathcurragh, Newbridge",53.1659519,-6.8094021
"64 RATHGAR RD, DUBLIN 6W, DUBLIN",53.315729,-6.2720191
"65 Broombridge Road, Cabra, Dublin 7",53.3697647,-6.3011455
"69A KILTALOWN ROAD, TALLAGHT, DUBLIN 24",53.2772406,-6.4039439
"70 BRIARWOOD AVE, HARTSTOWN, DUBLIN 15",0,0
"72 HAMPTON SQUARE, NAAN ROAD, DUBLIN 7",0,0
"74 LISSADYRA, TUAM, GALWAY",53.522644,-8.859865403703372
"76 HEBRON PARK, KILKENNY",52.6600969,-7.2310276
"77 KILALLA RD, CABRA, DUBLIN 7",0,0
"8 CHURCH AVE, OFF ROMAN ST, CORK",0,0
"8 HAMPTON COURT, BALBRIGGAN, DUBLIN",0,0
"9 Cois Tra, Kilbush Lane, Rush",0,0
"9 PORTOBELLO RD, DUBLIN 8, DUBLIN",53.33105515,-6.2699444164603175
"9 St Aubyns Court, Shanganagh Road, Killiney",0,0
"93 TOLKA EST, DUBLIN 11, DUBLIN",53.38026035,-6.281672568851624
"Apartment 21, 31 St. James's Walk, Rialto",0,0
"APT 31, GRACE PARK COURT, BEAUMONT RD DUBLIN 9",0,0
"BALLYDAVID SOUTH, MONIVEA ROAD, ATHENRY",0,0
"BALMACE HOUSE, BALMACE, FERMOY",0,0
"BLADE LODGE, BALLYMOTE RD, TUAM GALWAY",0,0
"BUSH, RIVERSTOWN, DUNDALK",0,0
"CLONEBYRNE, BUNCLODY, ENNISCORTHY",0,0
"CLOONACRIN, GRANGE, SLIGO",0,0
"Cloongowna, Bealnamullia, Athlone",0,0
"DEMESNE, DUNMANWAY, CORK",51.73271065,-9.10557046392901
"Drimagh, Rosehill, Rosslare Strand",0,0
"Drumgore, Loughduff",0,0
"FINNED, CARNEY, SLIGO",0,0
"GLENGARRIFF RD, BANTRY, CORK",51.6813918,-9.4481827
"HILLVIEW, BISHOPSTOWN AVE MODEL FARM RD, CORK",0,0
"IN TRUST MRS P SODEN DEC, SAN JOSE, ROSSES POINT",0,0
"KEALAGREAGHANE WEST, BALLINSKELLIGS, CO KERRY",0,0
"Kileelybeg, Kilkolgan",0,0
"KNOCKTORAN, ELTON, KILMALLOCK",0,0
"MACMINE, BALLYHOGUE, ENNISCORTHY",0,0
"Murvagh Upper, Ballintra",54.59819075,-8.153252563164944
"No. 42 Delgany Hills, Delgany",53.13412795,-6.081019570391129
"No. 45 Delgany Hills, Delgany",53.13412795,-6.081019570391129
"No. 6 Glenbrook Lawn, Mountkennedy Town Centre, Newtownmountkennedy",0,0
"SKREENEY, MANORHAMILTON, CO LEITRIM",0,0
"SPURKANE, WATERVILLE, KERRY",0,0
"1 Mottisons Road, Waterford",0,0
"10 COLLINSTOWN, BRUFF, LIMERICK",0,0
"10 EDGEWORTH GREEN, LONGWOOD, MEATH",0,0
"10 MAIN ST, BAWNBOY, CAVAN",0,0
"100 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"101 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"102 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"13 CASTLEFIELD DR, CASTLEFIELD MANOR, KNOCKLYON DUBLIN 16",0,0
"14 COILL TIRE, DOUGHISKA, GALWAY",0,0
"14 Elmwood Road, Swords",53.461936,-6.235595
"14 GLEANN RUA, MURROUGH, CO GALWAY",0,0
