,Address
390000,"110 CHARLESLAND GROVE, GREYSTONES, WICKLOW"
390001,"12 ARMSTRONG ST, HAROLDS CROSS, DUBLIN 6"
390002,"12 Dun Gaoithe Heights, Aikens Village Road, Sandyford"
390003,"12 GLEN ELLAN CRESCENT, SWORDS, DUBLIN"
390004,"12 Hazel Close, Greenhills, Carrick on Suir"
390005,"12 The Willows, Ballinahinch Wood, Ashford"
390006,"13 ARD MHUIRE, CASHEL, TIPPERARY"
390007,"13 SAGGART LODGE, COURT, SAGGART"
390008,"13 WOODVILLE DR, WOODVILLE GRANGE, ATHLONE"
390009,"135 NEWHAVEN BAY, FLEMINGTON LANE, BALBRIGGAN"
390010,"14 CLUAIN AITEANN, BREE, ENNISCORTHY"
390011,"14 COOPERSWALK, LUSK VILLAGE, LUSK"
390012,"14 DUN GAOITHE HEIGHTS, AIKENS VILLAGE, SANDYFORD"
390013,"14 ROSARD, UPPER GLANMIRE, CORK"
390014,"14 Westminister Wood, Foxrock"
390015,"145 ASHFIELD EAST, KILKENNY, KILKENNY"
390016,"147 LIMEKILN WOOD, NAVAN, MEATH"
390017,"15 Beaulieu Village, Termonfeckin Road, Drogheda"
390018,"15 Hillview, Ballinlough, Roscommon"
390019,"15 SEAPARK ROAD, CLONTARF, DUBLIN 3"
390020,"152 CLOCHOG, ORANMORE, GALWAY"
390021,"16 SEAN LIOS, GOREY, CO WEXFORD"
390022,"16 SLIEVE MISH PARK, KINSALE RD, CORK"
390023,"16 WOODVILLE DR, ATHLONE, WESTMEATH"
390024,"17 BEAU ST, WATERFORD, WATERFORD"
390025,"17 BEAU ST, WATERFORD, WATERFORD"
390026,"17 BEAU ST, WATERFORD, WATERFORD"
390027,"17 KILCOLMAN DR, NEWCASTLEWEST, LIMERICK"
390028,"17 MILL HOUSE, CORNMARKET ST, ENNIS"
390029,"17 Oak Park View, Oak Park, Craddockstown"
390030,"17 STRAND COTTAGES, NORTH STRAND, DROGHEDA"
390031,"18 TOURNVILLE LODGE, RATHFARNHAM, DUBLIN 14"
390032,"19 ARRAN ROAD, DRUMCONDRA, DUBLIN 9"
390033,"19 ASHFIELD, ROYAL OAK ROAD, BAGENALSTOWN"
390034,"19 CLUAINN ALAINN, THE BURGERY, DUNGARVAN"
390035,"19 COUNTESS GROVE, KILLARNEY, KERRY"
390036,"19 The Forge Court, Lusk"
390037,"19 THE GROVE, CLARION RD, BALLINODE"
390038,"19 UPPER MAIN STREET, LETTERKENNY, CO DONEGAL"
390039,"19 WOODLANDS MANOR, RAMSFORT PARK COREY, WEXFORD"
390040,"1BERRYFIELDS, LETTERKENNY RD, STRANORLAR"
390041,"2 ABBEYVILLE, ROSCOMMON"
390042,"2 CRESENT GREEN, CRESENT, GALWAY"
390043,"2 DEVON MEWS, SALTHILL, GALWAY"
390044,"2 FINNSVIEW, FINNSTOWN PRIORY, LUCAN"
390045,"2 Laharran West, Manor Farm, Lehenaghbeg"
390046,"2 Laurelville, Mill Road, Corbally"
390047,"2 MOYCOURT, BALLYMAHON, LONGFORD"
390048,"2 OAK PARK SQUARE, OAK PARK, NAAS"
390049,"2 PEMBROKE ST, IRISHTOWN, DUBLIN 4"
390050,"2 Shackleton Cross, Shackleton Park, Lucan"
390051,"2 SILKEN PARK LANE, OLD NAAS ROAD, KINGSWOOD"
390052,"20 EMMET RD, CARRICKMACROSS, MONAGHAN"
390053,"20 MOUNT GARRETT RISE, TYRRELSTOWN, DUBLIN 15"
390054,"20 THE WILLOWS, RIVERCOURT, RATHMULLAN RD"
390055,"204 CHURCH FIELDS, ASHBOURNE, MEATH"
390056,"216 BUTTERFIELD AVENUE, RATHFARNHAM, DUBLIN 14"
390057,"218 ROSEBERRY HILL, NEWBRIDGE, KILDARE"
390058,"22 CHAPEL LANE, EDGWORTHSTOWN, LONGFORD"
390059,"22 CRANMER PLACE, CRANMER LANE, HADDINGTON RD DUBLIN 4"
390060,"22 ST MARKS, FAIR ST, DROGHEDA"
390061,"22 WOODVIEW, MOUNT MERRION AVE, BLACKROCK"
390062,"228 CAPTAINS RD, CRUMLIN, DUBLIN 12"
390063,"23 Churchfields, Ashboure"
390064,"23 ST JOHNS AVE, JOHNSTOWN, KILDARE"
